Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
100954	Temporary & Specialty Packages	Jim Beam White with Highball Glass	065	Jim Beam Brands	750	6	1	4	80	05/01/2022	80686027614	10081753841154	11.00	66.00	16.50	10/01/2022
100973	Temporary & Specialty Packages	Johnnie Walker Blue w/Gold Pen	260	DIAGEO AMERICAS	750	6	1	0	80	10/01/2020	88076184688	10088004040724	130.00	780.00	195.00	10/01/2022
100976	Temporary & Specialty Packages	Hussongs Combo Pack	300	McCormick Distilling Co.	750	1	8	0	80	07/01/2020	88076184688	20085592162354	143.52	143.52	215.28	10/01/2022
100978	Temporary & Specialty Packages	Bushmills Irish Whiskey 750ml w/Irish Coffee Glass	395	PROXIMO	750	6	1	0	80	09/01/2020	818844020739	10081753841154	13.99	83.94	20.99	10/01/2022
100983	Temporary & Specialty Packages	1800 Silver 750ml w/1800 Coconut 200ml	395	PROXIMO	750	6	2	0	80	08/01/2020	81128001063	11818844020728	15.46	92.76	23.19	10/01/2022
100994	Temporary & Specialty Packages	Makers Mark w/Shaker	065	Jim Beam Brands	750	6	1	0	90	07/01/2021	818844020739	10085246501723	18.00	108.00	27.00	10/01/2022
101018	Temporary & Specialty Packages	Glenlivet Trial Pack Minis	370	PERNOD RICARD USA	50	30	4	0	80	11/01/2021	818844020739	10080432116194	6.49	194.70	9.74	10/01/2022
101021	Temporary & Specialty Packages	Dewars 12YR w/Ginger Ale	035	BACARDI USA INC	750	6	1	12	80	06/01/2020	80480985684	20085592162354	25.50	153.00	38.25	10/01/2022
101024	Temporary & Specialty Packages	Belvedere Pure w/Cutting Board	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	81753832841	11818844020728	14.99	89.94	22.49	10/01/2022
101025	Temporary & Specialty Packages	Hennessy VSOP 2020 EOY Manhattan VAP	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	81753832957	10082000792601	30.99	185.94	46.49	10/01/2022
101028	Temporary & Specialty Packages	RumHaven w/Tiki Mug	205	E & J Gallo Winery	750	6	1	0	42	08/01/2021	818844020739	20085000023345	8.50	51.00	12.75	10/01/2022
101034	Temporary & Specialty Packages	Absolut Blue W/Aluminum Tumbler	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2020	80432116227	20085592162354	8.99	53.94	13.49	10/01/2022
101037	Temporary & Specialty Packages	Romana Sambuca Italian Liquore Holiday Minis	421	SAZERAC COMPANY  INC	50	30	4	0	84	09/01/2021	818844020739	10088004050020	2.00	60.00	3.00	10/01/2022
101043	Temporary & Specialty Packages	Bombay Sapphire Gin w/Tonic	035	BACARDI USA INC	375	6	1	0	94	06/01/2020	80480985660	11818844020728	5.09	30.54	7.64	10/01/2022
101046	Whiskey Liqueur	Fireball Cinnamon Whiskey Party Cooler	421	SAZERAC COMPANY  INC	50	6	20	0	66	10/01/2020	88004039042	11818844020728	8.60	51.60	12.90	10/01/2022
101047	Whiskey Liqueur	Fireball Cinnamon Whiskey Party Cooler	421	SAZERAC COMPANY  INC	100	4	12	0	66	10/01/2020	88004039035	10080480985766	12.00	48.00	18.00	10/01/2022
101044	Temporary & Specialty Packages	Cazadores Reposado w/Margarita Mix	035	BACARDI USA INC	750	6	1	0	80	06/01/2021	81753832957	10080480985766	14.00	84.00	21.00	10/01/2022
101049	Temporary & Specialty Packages	FLAVORED RUMS MULTI PACK	035	BACARDI USA INC	50	4	30	0	70	06/01/2020	818844020739	10080480008410	24.90	99.60	37.35	10/01/2022
101066	Temporary & Specialty Packages	Makers Mark 46 w/Bottle Stopper	065	Jim Beam Brands	750	6	1	0	94	11/01/2020	85246501481	10080480008410	21.00	126.00	31.50	10/01/2022
101073	Temporary & Specialty Packages	Glenmorangie Original Giraffe Tin VAP	420	MOET HENNESSY USA	750	6	1	10	86	05/01/2021	85246501481	10081753841895	19.99	119.94	29.99	10/01/2022
101084	Tennessee Whiskies	Jack Daniels Holiday Calendar Pack	085	Brown Forman Corp.	50	3	20	0	77	08/01/2020	85246501481	10082184105020	30.00	90.00	45.00	10/01/2022
101086	Temporary & Specialty Packages	Elijah Craig w/Old Fashioned Cocktail Syrup	259	Heaven Hill Brands	750	6	1	0	94	09/01/2021	96749002788	10088004040779	16.00	96.00	24.00	10/01/2022
101088	Temporary & Specialty Packages	Dewars 200ml Variety Pack	035	BACARDI USA INC	200	6	3	12	80	11/01/2020	80480008444	10082184105020	12.50	75.00	18.75	10/01/2022
101100	Temporary & Specialty Packages	Avion Silver w/ 2 Skull Glasses	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2021	80432115534	10082184105020	22.48	134.88	33.72	10/01/2022
101103	Temporary & Specialty Packages	Ketel One w/2 Bloody Mary Glasses	260	DIAGEO AMERICAS	750	6	1	0	80	11/01/2020	88004039042	10085156375131	11.33	67.98	17.00	10/01/2022
101104	Temporary & Specialty Packages	Bulleit Bourbon w/2 Ceramic Mugs	260	DIAGEO AMERICAS	750	6	1	0	90	10/01/2021	88004039042	10082000793882	16.50	99.00	24.75	10/01/2022
101106	Temporary & Specialty Packages	Bird Dog Black Cherry VAP	492	WESTERN SPIRITS BEVERAGE	750	6	1	0	80	10/01/2020	812459014572	10082000793882	10.00	60.00	15.00	10/01/2022
101121	Temporary & Specialty Packages	Bird Dog Blackberry VAP	492	WESTERN SPIRITS BEVERAGE	750	6	3	0	80	10/01/2020	80432116227	30812459014429	10.00	60.00	15.00	10/01/2022
101123	Temporary & Specialty Packages	Bird Dog Peach VAP	492	WESTERN SPIRITS BEVERAGE	750	6	3	0	80	10/01/2020	812459014435	10080480985766	10.00	60.00	15.00	10/01/2022
101126	Temporary & Specialty Packages	Jim Beam Flavors 50ml Variety Pack	065	Jim Beam Brands	50	12	10	0	65	07/01/2021	80686021742	10080480985766	5.00	60.00	7.50	10/01/2022
101139	Temporary & Specialty Packages	Midnight Moon Peppermint w/ Shot Glass	384	PIEDMONT DISTILLERS INC	750	6	1	0	80	10/01/2021	96749002788	10850015676038	11.50	69.00	17.25	10/01/2022
101140	Temporary & Specialty Packages	Ardbeg Blaaack General Release	420	MOET HENNESSY USA	750	6	1	0	92	06/01/2020	81753832834	10721059003213	59.99	359.94	89.99	10/01/2022
101141	Temporary & Specialty Packages	Jagermeister Sustainable Mug VAP	192	Mast-Jagermeister US, Inc	750	6	1	0	70	09/01/2020	83089000161	10850015676038	13.00	78.00	19.50	10/01/2022
101142	Temporary & Specialty Packages	Larceny  VAP w/Glass and Flask	259	Heaven Hill Brands	750	6	1	0	92	09/01/2021	96749002856	10082184105020	14.00	84.00	21.00	10/01/2022
101151	Whiskey Liqueur	Fireball Cinnamon Whiskey Adult Trick Or Treat Bag Mini	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022	80686021742	10088004040724	51.60	51.60	77.40	10/01/2022
101155	Temporary & Specialty Packages	Ezra Brooks w/Glass & Ice Ball Mold	434	LUXCO INC	750	4	1	0	90	10/01/2020	88352135632	10082184105020	7.50	30.00	11.25	10/01/2022
101162	Temporary & Specialty Packages	Aviation American Gin VAP w/ Collins Glasses	260	DIAGEO AMERICAS	750	6	1	0	84	12/01/2021	81753832834	10857050005311	14.17	85.02	21.26	10/01/2022
101163	Temporary & Specialty Packages	RumChata w/ 100ml Lemon & Peppermint Bark	205	E & J Gallo Winery	950	6	3	0	28	10/01/2022	890355001568	10857050005311	14.00	84.00	21.00	10/01/2022
101168	Temporary & Specialty Packages	Caravella Limoncello W/ Pitcher	421	SAZERAC COMPANY  INC	750	6	1	0	56	09/01/2021	88004042158	10088004040724	11.25	67.50	16.88	10/01/2022
101172	Temporary & Specialty Packages	Bird Dog Kentucky Straight VAP w/ 2 Minis	492	WESTERN SPIRITS BEVERAGE	850	6	1	0	84	11/01/2021	890355001568	10812459014708	11.50	69.00	17.25	10/01/2022
101180	American Schnapps	99 Fruits Mini	421	SAZERAC COMPANY  INC	50	12	10	0	99	07/01/2020	88004040529	10088004040724	4.30	51.60	6.45	10/01/2022
101174	Temporary & Specialty Packages	Bulleit Bourbon Outdoor Kit w/Yeti	260	DIAGEO AMERICAS	1125	6	2	0	90	11/01/2020	88352135632	10082000794483	32.49	194.94	48.74	10/01/2022
101181	Temporary & Specialty Packages	Crown Royal Multibrand Advent Calendar	260	DIAGEO AMERICAS	50	6	12	0	80	10/01/2020	82000794479	10812459014708	22.49	134.94	33.74	10/01/2022
101182	Temporary & Specialty Packages	Johnnie Walker 12 days of Discovery	260	DIAGEO AMERICAS	50	6	12	0	80	11/01/2020	82184205495	10088076185217	49.99	299.94	74.99	10/01/2022
101183	Temporary & Specialty Packages	Disaronno Velvet Cream Liqueur w/Glass	130	DISARONNO INTERNATIONAL	750	6	1	0	34	09/01/2022	82000794479	10050037097013	16.53	99.18	24.80	10/01/2022
101187	Temporary & Specialty Packages	Hennessy VS NBA 2020 Giftbox	420	MOET HENNESSY USA	750	12	1	0	80	11/01/2020	81753833657	10050037097013	20.99	251.88	31.49	10/01/2022
101188	Temporary & Specialty Packages	Hennessy VSOP NBA 2020 Giftbox	420	MOET HENNESSY USA	750	12	1	0	80	11/01/2020	81753833664	10088004040724	30.99	371.88	46.49	10/01/2022
101192	Temporary & Specialty Packages	Jagermeister Cold Brew w/Coffee Mug	192	Mast-Jagermeister US, Inc	750	6	1	0	66	10/01/2021	83089000208	10850015676038	13.00	78.00	19.50	10/01/2022
101200	Temporary & Specialty Packages	Fireball Cinnamon Whiskey Countdown Calendar Minis	421	SAZERAC COMPANY  INC	50	6	20	0	66	09/01/2021	81753833657	10088004040779	8.60	51.60	12.90	10/01/2022
101201	Temporary & Specialty Packages	JAJA Blanco w/Meme Game	395	PROXIMO	750	6	1	0	80	09/01/2020	88320007091	10088004040724	21.00	126.00	31.50	10/01/2022
101214	Temporary & Specialty Packages	Bacardi Ocho Mixing Glass & Spoon Pack	035	BACARDI USA INC	750	6	1	8	80	10/01/2021	82184205495	10080480008472	15.00	90.00	22.50	10/01/2022
101216	Temporary & Specialty Packages	Captain Morgan OSR w/50ml CM Sliced Apple	260	DIAGEO AMERICAS	1750	6	1	0	70	04/01/2022	82000795674	10850015676038	18.00	108.00	27.00	10/01/2022
101217	Temporary & Specialty Packages	Captain Morgan OSR PET w/50ml CM Sliced Apple	260	DIAGEO AMERICAS	1750	6	1	0	70	04/01/2022	82000795681	10088004040724	18.00	108.00	27.00	10/01/2022
101232	Temporary & Specialty Packages	Ardbeg An Oa Smoker VAP	420	MOET HENNESSY USA	750	6	1	0	93	10/01/2021	81753832964	10081753844636	29.99	179.94	44.99	10/01/2022
101239	Temporary & Specialty Packages	WhistlePig Rye Piglets Mini	214	GoAmericaGo Beverages LLC / WhistlePig	50	12	3	0	100	09/01/2020	850001901703	10088004040724	10.00	120.00	15.00	10/01/2022
