Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
100808	TEMPORARY & SPECIALTY PACKAGES	BARENJAGER HONEY W/COLLINS COCKTAIL GLASS	338	MARUSSIA BEVERAGES USA, INC / NICHE IMPORT	750	6	1	0	70	10/01/2020	80368533006	10088004040724	14.92	89.52	22.38	10/01/2022
100813	TEMPORARY & SPECIALTY PACKAGES	FRANGELICO LIQUEUR W/FRENCH PRESS	619	CAMPARI AMERICA	750	6	1	0	80	10/01/2020	721059001373	10087647113895	14.50	87.00	21.75	10/01/2022
100815	TEMPORARY & SPECIALTY PACKAGES	BAILEYS MINI MULTI PACK	260	DIAGEO AMERICAS	50	6	12	0	34	09/01/2022	88076185890	20096749001068	12.50	75.00	18.75	10/01/2022
100843	TEMPORARY & SPECIALTY PACKAGES	GLENLIVET 12YR W/14YR 50ML	370	PERNOD RICARD USA	800	12	2	12	80	03/01/2020	80432400630	10087647113895	24.98	299.76	37.47	10/01/2022
100844	TEMPORARY & SPECIALTY PACKAGES	PENDLETON CANADIAN WHISKEY W/BELT BUCKLE	395	PROXIMO	1750	6	1	3	80	09/01/2022	811538019361	10087647113895	26.50	159.00	39.75	10/01/2022
100847	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY CANDY CANES	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022		10088004035898	51.60	51.60	77.40	10/01/2022
100854	TEMPORARY & SPECIALTY PACKAGES	ARDBEG 19YR GIFT BOX 2021 EDITION	420	MOET HENNESSY USA	750	6	1	19	92	09/01/2021	81753835071	90720815950231	149.99	899.94	224.99	10/01/2022
100855	TEMPORARY & SPECIALTY PACKAGES	MAKERS MARK GENERATIONS TRI-PACK	065	JIM BEAM BRANDS	375	3	3	0	110	10/01/2021	81753835071	10085246501853	42.50	127.50	63.75	10/01/2022
100861	AMERICAN CORDIALS & LIQUEUR	99 PARTY BUCKET MINIS	421	SAZERAC COMPANY  INC	50	1	120	0	99	09/01/2021	80432116227	10088004034228	51.60	51.60	77.40	10/01/2022
100856	TEMPORARY & SPECIALTY PACKAGES	OLD FORESTER OLD FASHION W/2OZ SYRUP	085	BROWN FORMAN CORP.	750	12	1	0	100	08/01/2020	81128001063	10088004034907	11.80	141.60	17.70	10/01/2022
100862	TEMPORARY & SPECIALTY PACKAGES	99 BRAND CANDY CANES	421	SAZERAC COMPANY  INC	50	1	120	0	99	09/01/2022	81753835071	10088004035874	51.60	51.60	77.40	10/01/2022
100865	TEMPORARY & SPECIALTY PACKAGES	CROWN ROYAL REGAL APPLE W/ 2 GLASSES VAP	260	DIAGEO AMERICAS	750	6	1	0	70	09/01/2022	82000792208	20096749001068	17.49	104.94	26.24	10/01/2022
100891	TEMPORARY & SPECIALTY PACKAGES	DIPLOMATICO RESERVA EXCLUSIVA W/ 2 ROCKS GLASSES	205	E & J GALLO WINERY	750	6	1	0	80	10/01/2022	759400362941	10088004034228	22.50	135.00	33.75	10/01/2022
100892	TEMPORARY & SPECIALTY PACKAGES	DIPLOMATICO RESERVA EXCLUSIVA W/GLASSES	205	E & J GALLO WINERY	750	6	1	0	80	11/01/2020	81128001063	17594003626355	20.00	120.00	30.00	10/01/2022
100901	TEMPORARY & SPECIALTY PACKAGES	OLD ELK BLENDED BOURBON VAP	536	OLD ELK DISTILLERIES LLC	750	6	1	5	88	11/01/2021	852045007359	10088004035874	25.00	150.00	37.50	10/01/2022
100939	COCKTAILS/RTD	ON THE ROCKS COMBO PACK 200ML	065	JIM BEAM BRANDS	200	6	4	0	40	04/01/2022	852045007359	10855880008304	13.00	78.00	19.50	10/01/2022
100938	WHISKEY LIQUEUR	FIREBALL VALENTINE PACK	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022	81128001063	10088004036956	51.60	51.60	77.40	10/01/2022
100941	TEMPORARY & SPECIALTY PACKAGES	HENNESSY XO 2020 EOY ICE EXPERIENCE VAP	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	759400362941	10081753841154	99.99	599.94	149.99	10/01/2022
100944	TEMPORARY & SPECIALTY PACKAGES	CROWN ROYAL W/2 SHOT GLASSES	260	DIAGEO AMERICAS	750	6	1	0	80	06/01/2022	852045007359	10082000792601	17.49	104.94	26.24	10/01/2022
100954	TEMPORARY & SPECIALTY PACKAGES	JIM BEAM WHITE WITH HIGHBALL GLASS	065	JIM BEAM BRANDS	750	6	1	4	80	05/01/2022	80686027614	10081753841154	11.00	66.00	16.50	10/01/2022
100973	TEMPORARY & SPECIALTY PACKAGES	JOHNNIE WALKER BLUE W/GOLD PEN	260	DIAGEO AMERICAS	750	6	1	0	80	10/01/2020	88076184688	10088004040724	130.00	780.00	195.00	10/01/2022
100976	TEMPORARY & SPECIALTY PACKAGES	HUSSONGS COMBO PACK	300	MCCORMICK DISTILLING CO.	750	1	8	0	80	07/01/2020	88076184688	20085592162354	143.52	143.52	215.28	10/01/2022
100978	TEMPORARY & SPECIALTY PACKAGES	BUSHMILLS IRISH WHISKEY 750ML W/IRISH COFFEE GLASS	395	PROXIMO	750	6	1	0	80	09/01/2020	818844020739	10081753841154	13.99	83.94	20.99	10/01/2022
100983	TEMPORARY & SPECIALTY PACKAGES	1800 SILVER 750ML W/1800 COCONUT 200ML	395	PROXIMO	750	6	2	0	80	08/01/2020	81128001063	11818844020728	15.46	92.76	23.19	10/01/2022
100994	TEMPORARY & SPECIALTY PACKAGES	MAKERS MARK W/SHAKER	065	JIM BEAM BRANDS	750	6	1	0	90	07/01/2021	818844020739	10085246501723	18.00	108.00	27.00	10/01/2022
101018	TEMPORARY & SPECIALTY PACKAGES	GLENLIVET TRIAL PACK MINIS	370	PERNOD RICARD USA	50	30	4	0	80	11/01/2021	818844020739	10080432116194	6.49	194.70	9.74	10/01/2022
101021	TEMPORARY & SPECIALTY PACKAGES	DEWARS 12YR W/GINGER ALE	035	BACARDI USA INC	750	6	1	12	80	06/01/2020	80480985684	20085592162354	25.50	153.00	38.25	10/01/2022
999995	AMERICAN CORDIALS & LIQUEUR	VIKRE AMARO SUPERIORE	609	VIKRE DISTILLERY	750	6	1	0	60	03/01/2022	860003363829	10853054006224	17.00	102.00	25.50	10/01/2022
101024	TEMPORARY & SPECIALTY PACKAGES	BELVEDERE PURE W/CUTTING BOARD	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	81753832841	11818844020728	14.99	89.94	22.49	10/01/2022
101025	TEMPORARY & SPECIALTY PACKAGES	HENNESSY VSOP 2020 EOY MANHATTAN VAP	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	81753832957	10082000792601	30.99	185.94	46.49	10/01/2022
101028	TEMPORARY & SPECIALTY PACKAGES	RUMHAVEN W/TIKI MUG	205	E & J GALLO WINERY	750	6	1	0	42	08/01/2021	818844020739	20085000023345	8.50	51.00	12.75	10/01/2022
101034	TEMPORARY & SPECIALTY PACKAGES	ABSOLUT BLUE W/ALUMINUM TUMBLER	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2020	80432116227	20085592162354	8.99	53.94	13.49	10/01/2022
101037	TEMPORARY & SPECIALTY PACKAGES	ROMANA SAMBUCA ITALIAN LIQUORE HOLIDAY MINIS	421	SAZERAC COMPANY  INC	50	30	4	0	84	09/01/2021	818844020739	10088004050020	2.00	60.00	3.00	10/01/2022
101043	TEMPORARY & SPECIALTY PACKAGES	BOMBAY SAPPHIRE GIN W/TONIC	035	BACARDI USA INC	375	6	1	0	94	06/01/2020	80480985660	11818844020728	5.09	30.54	7.64	10/01/2022
101046	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY PARTY COOLER	421	SAZERAC COMPANY  INC	50	6	20	0	66	10/01/2020	88004039042	11818844020728	8.60	51.60	12.90	10/01/2022
101047	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY PARTY COOLER	421	SAZERAC COMPANY  INC	100	4	12	0	66	10/01/2020	88004039035	10080480985766	12.00	48.00	18.00	10/01/2022
101044	TEMPORARY & SPECIALTY PACKAGES	CAZADORES REPOSADO W/MARGARITA MIX	035	BACARDI USA INC	750	6	1	0	80	06/01/2021	81753832957	10080480985766	14.00	84.00	21.00	10/01/2022
101049	TEMPORARY & SPECIALTY PACKAGES	FLAVORED RUMS MULTI PACK	035	BACARDI USA INC	50	4	30	0	70	06/01/2020	818844020739	10080480008410	24.90	99.60	37.35	10/01/2022
101066	TEMPORARY & SPECIALTY PACKAGES	MAKERS MARK 46 W/BOTTLE STOPPER	065	JIM BEAM BRANDS	750	6	1	0	94	11/01/2020	85246501481	10080480008410	21.00	126.00	31.50	10/01/2022
101073	TEMPORARY & SPECIALTY PACKAGES	GLENMORANGIE ORIGINAL GIRAFFE TIN VAP	420	MOET HENNESSY USA	750	6	1	10	86	05/01/2021	85246501481	10081753841895	19.99	119.94	29.99	10/01/2022
101084	TENNESSEE WHISKIES	JACK DANIELS HOLIDAY CALENDAR PACK	085	BROWN FORMAN CORP.	50	3	20	0	77	08/01/2020	85246501481	10082184105020	30.00	90.00	45.00	10/01/2022
101086	TEMPORARY & SPECIALTY PACKAGES	ELIJAH CRAIG W/OLD FASHIONED COCKTAIL SYRUP	259	HEAVEN HILL BRANDS	750	6	1	0	94	09/01/2021	96749002788	10088004040779	16.00	96.00	24.00	10/01/2022
101088	TEMPORARY & SPECIALTY PACKAGES	DEWARS 200ML VARIETY PACK	035	BACARDI USA INC	200	6	3	12	80	11/01/2020	80480008444	10082184105020	12.50	75.00	18.75	10/01/2022
101100	TEMPORARY & SPECIALTY PACKAGES	AVION SILVER W/ 2 SKULL GLASSES	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2021	80432115534	10082184105020	22.48	134.88	33.72	10/01/2022
101103	TEMPORARY & SPECIALTY PACKAGES	KETEL ONE W/2 BLOODY MARY GLASSES	260	DIAGEO AMERICAS	750	6	1	0	80	11/01/2020	88004039042	10085156375131	11.33	67.98	17.00	10/01/2022
101104	TEMPORARY & SPECIALTY PACKAGES	BULLEIT BOURBON W/2 CERAMIC MUGS	260	DIAGEO AMERICAS	750	6	1	0	90	10/01/2021	88004039042	10082000793882	16.50	99.00	24.75	10/01/2022
101106	TEMPORARY & SPECIALTY PACKAGES	BIRD DOG BLACK CHERRY VAP	492	WESTERN SPIRITS BEVERAGE	750	6	1	0	80	10/01/2020	812459014572	10082000793882	10.00	60.00	15.00	10/01/2022
101121	TEMPORARY & SPECIALTY PACKAGES	BIRD DOG BLACKBERRY VAP	492	WESTERN SPIRITS BEVERAGE	750	6	3	0	80	10/01/2020	80432116227	30812459014429	10.00	60.00	15.00	10/01/2022
101123	TEMPORARY & SPECIALTY PACKAGES	BIRD DOG PEACH VAP	492	WESTERN SPIRITS BEVERAGE	750	6	3	0	80	10/01/2020	812459014435	10080480985766	10.00	60.00	15.00	10/01/2022
101126	TEMPORARY & SPECIALTY PACKAGES	JIM BEAM FLAVORS 50ML VARIETY PACK	065	JIM BEAM BRANDS	50	12	10	0	65	07/01/2021	80686021742	10080480985766	5.00	60.00	7.50	10/01/2022
101139	TEMPORARY & SPECIALTY PACKAGES	MIDNIGHT MOON PEPPERMINT W/ SHOT GLASS	384	PIEDMONT DISTILLERS INC	750	6	1	0	80	10/01/2021	96749002788	10850015676038	11.50	69.00	17.25	10/01/2022
101140	TEMPORARY & SPECIALTY PACKAGES	ARDBEG BLAAACK GENERAL RELEASE	420	MOET HENNESSY USA	750	6	1	0	92	06/01/2020	81753832834	10721059003213	59.99	359.94	89.99	10/01/2022
101141	TEMPORARY & SPECIALTY PACKAGES	JAGERMEISTER SUSTAINABLE MUG VAP	192	MAST-JAGERMEISTER US, INC	750	6	1	0	70	09/01/2020	83089000161	10850015676038	13.00	78.00	19.50	10/01/2022
101142	TEMPORARY & SPECIALTY PACKAGES	LARCENY  VAP W/GLASS AND FLASK	259	HEAVEN HILL BRANDS	750	6	1	0	92	09/01/2021	96749002856	10082184105020	14.00	84.00	21.00	10/01/2022
101151	WHISKEY LIQUEUR	FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022	80686021742	10088004040724	51.60	51.60	77.40	10/01/2022
101155	TEMPORARY & SPECIALTY PACKAGES	EZRA BROOKS W/GLASS & ICE BALL MOLD	434	LUXCO INC	750	4	1	0	90	10/01/2020	88352135632	10082184105020	7.50	30.00	11.25	10/01/2022
101162	TEMPORARY & SPECIALTY PACKAGES	AVIATION AMERICAN GIN VAP W/ COLLINS GLASSES	260	DIAGEO AMERICAS	750	6	1	0	84	12/01/2021	81753832834	10857050005311	14.17	85.02	21.26	10/01/2022
101163	TEMPORARY & SPECIALTY PACKAGES	RUMCHATA W/ 100ML LEMON & PEPPERMINT BARK	205	E & J GALLO WINERY	950	6	3	0	28	10/01/2022	890355001568	10857050005311	14.00	84.00	21.00	10/01/2022
101168	TEMPORARY & SPECIALTY PACKAGES	CARAVELLA LIMONCELLO W/ PITCHER	421	SAZERAC COMPANY  INC	750	6	1	0	56	09/01/2021	88004042158	10088004040724	11.25	67.50	16.88	10/01/2022
101172	TEMPORARY & SPECIALTY PACKAGES	BIRD DOG KENTUCKY STRAIGHT VAP W/ 2 MINIS	492	WESTERN SPIRITS BEVERAGE	850	6	1	0	84	11/01/2021	890355001568	10812459014708	11.50	69.00	17.25	10/01/2022
101180	AMERICAN SCHNAPPS	99 FRUITS MINI	421	SAZERAC COMPANY  INC	50	12	10	0	99	07/01/2020	88004040529	10088004040724	4.30	51.60	6.45	10/01/2022
101174	TEMPORARY & SPECIALTY PACKAGES	BULLEIT BOURBON OUTDOOR KIT W/YETI	260	DIAGEO AMERICAS	1125	6	2	0	90	11/01/2020	88352135632	10082000794483	32.49	194.94	48.74	10/01/2022
101181	TEMPORARY & SPECIALTY PACKAGES	CROWN ROYAL MULTIBRAND ADVENT CALENDAR	260	DIAGEO AMERICAS	50	6	12	0	80	10/01/2020	82000794479	10812459014708	22.49	134.94	33.74	10/01/2022
101182	TEMPORARY & SPECIALTY PACKAGES	JOHNNIE WALKER 12 DAYS OF DISCOVERY	260	DIAGEO AMERICAS	50	6	12	0	80	11/01/2020	82184205495	10088076185217	49.99	299.94	74.99	10/01/2022
101183	TEMPORARY & SPECIALTY PACKAGES	DISARONNO VELVET CREAM LIQUEUR W/GLASS	130	DISARONNO INTERNATIONAL	750	6	1	0	34	09/01/2022	82000794479	10050037097013	16.53	99.18	24.80	10/01/2022
101187	TEMPORARY & SPECIALTY PACKAGES	HENNESSY VS NBA 2020 GIFTBOX	420	MOET HENNESSY USA	750	12	1	0	80	11/01/2020	81753833657	10050037097013	20.99	251.88	31.49	10/01/2022
101188	TEMPORARY & SPECIALTY PACKAGES	HENNESSY VSOP NBA 2020 GIFTBOX	420	MOET HENNESSY USA	750	12	1	0	80	11/01/2020	81753833664	10088004040724	30.99	371.88	46.49	10/01/2022
101192	TEMPORARY & SPECIALTY PACKAGES	JAGERMEISTER COLD BREW W/COFFEE MUG	192	MAST-JAGERMEISTER US, INC	750	6	1	0	66	10/01/2021	83089000208	10850015676038	13.00	78.00	19.50	10/01/2022
101200	TEMPORARY & SPECIALTY PACKAGES	FIREBALL CINNAMON WHISKEY COUNTDOWN CALENDAR MINIS	421	SAZERAC COMPANY  INC	50	6	20	0	66	09/01/2021	81753833657	10088004040779	8.60	51.60	12.90	10/01/2022
101201	TEMPORARY & SPECIALTY PACKAGES	JAJA BLANCO W/MEME GAME	395	PROXIMO	750	6	1	0	80	09/01/2020	88320007091	10088004040724	21.00	126.00	31.50	10/01/2022
101214	TEMPORARY & SPECIALTY PACKAGES	BACARDI OCHO MIXING GLASS & SPOON PACK	035	BACARDI USA INC	750	6	1	8	80	10/01/2021	82184205495	10080480008472	15.00	90.00	22.50	10/01/2022
101216	TEMPORARY & SPECIALTY PACKAGES	CAPTAIN MORGAN OSR W/50ML CM SLICED APPLE	260	DIAGEO AMERICAS	1750	6	1	0	70	04/01/2022	82000795674	10850015676038	18.00	108.00	27.00	10/01/2022
101217	TEMPORARY & SPECIALTY PACKAGES	CAPTAIN MORGAN OSR PET W/50ML CM SLICED APPLE	260	DIAGEO AMERICAS	1750	6	1	0	70	04/01/2022	82000795681	10088004040724	18.00	108.00	27.00	10/01/2022
101232	TEMPORARY & SPECIALTY PACKAGES	ARDBEG AN OA SMOKER VAP	420	MOET HENNESSY USA	750	6	1	0	93	10/01/2021	81753832964	10081753844636	29.99	179.94	44.99	10/01/2022
101239	TEMPORARY & SPECIALTY PACKAGES	WHISTLEPIG RYE PIGLETS MINI	214	GOAMERICAGO BEVERAGES LLC / WHISTLEPIG	50	12	3	0	100	09/01/2020	850001901703	10088004040724	10.00	120.00	15.00	10/01/2022
101247	TEMPORARY & SPECIALTY PACKAGES	SELECT APERITIVO MONTENEGRO W/ TIN	205	E & J GALLO WINERY	750	6	1	0	35	10/01/2022	898193001894	20096749001068	13.44	80.64	20.16	10/01/2022
101248	TEMPORARY & SPECIALTY PACKAGES	TEELING TRINITY PACK	035	BACARDI USA INC	50	6	3	0	92	11/01/2021	81753832964	10813219020281	9.99	59.94	14.99	10/01/2022
101252	TEMPORARY & SPECIALTY PACKAGES	MAKERS MARK W/SHAKER	065	JIM BEAM BRANDS	1750	3	1	0	90	07/01/2021	85246501641	10850015676038	32.50	97.50	48.75	10/01/2022
101257	TEMPORARY & SPECIALTY PACKAGES	1800 SILVER/REPOSADO/CRISTALINO VARIETY PACK	395	PROXIMO	375	4	3	0	80	09/01/2022	88352135632	11818844021299	25.00	100.00	37.50	10/01/2022
101260	TEMPORARY & SPECIALTY PACKAGES	DEATHS DOOR GIN & FEVER TREE VAP	305	MHW LTD	750	6	1	0	94	10/01/2021	810023260059	10813219020281	15.00	90.00	22.50	10/01/2022
101266	TEMPORARY & SPECIALTY PACKAGES	JOHNNIE WALKER BLACK W/ JW MINIS & VOICE RECORDER	260	DIAGEO AMERICAS	950	6	1	0	90	10/01/2021	88076185555	10850015676038	46.14	276.84	69.21	10/01/2022
101269	TEMPORARY & SPECIALTY PACKAGES	TEQUILA ROSE MINIS & CHOCOLATE GIFT BOX	300	MCCORMICK DISTILLING CO.	50	6	10	0	50	01/01/2022	85592163883	10850015676038	7.46	44.76	11.19	10/01/2022
101271	TEMPORARY & SPECIALTY PACKAGES	JAMESON W/COLD BREW & BLACK BARREL MINIS	370	PERNOD RICARD USA	850	6	1	0	80	10/01/2021	80432117019	11818844021299	13.99	83.94	20.99	10/01/2022
101276	TEMPORARY & SPECIALTY PACKAGES	SOBIESKI 1750 W/ SPEAKER	421	SAZERAC COMPANY  INC	1750	6	1	0	80	05/01/2022	89016008491	10813219020281	10.99	65.94	16.49	10/01/2022
101284	TEMPORARY & SPECIALTY PACKAGES	GLEN MORAY TASTING COLLECTION MINIS	421	SAZERAC COMPANY  INC	50	12	4	0	80	08/01/2022	89016008491	30084279003895	9.64	115.68	14.46	10/01/2022
101288	TEMPORARY & SPECIALTY PACKAGES	MAKERS MARK W/ SCARF	065	JIM BEAM BRANDS	750	6	1	0	90	11/01/2021	85246501764	11818844021299	18.00	108.00	27.00	10/01/2022
101296	STRAIGHT RYE WHISKIES	WHISTLEPIG 6YR PIGGYBACK RYE	214	GOAMERICAGO BEVERAGES LLC / WHISTLEPIG	50	4	18	6	97	07/01/2021	82184205495	10850001901809	49.41	197.64	74.12	10/01/2022
101293	TEMPORARY & SPECIALTY PACKAGES	JIM BEAM WHITE W/ HOLIDAY TUMBLER	065	JIM BEAM BRANDS	750	6	1	4	80	10/01/2021	80686027423	30084279003895	11.00	66.00	16.50	10/01/2022
